e,E,s,k
kline,1714310424004,BTCUSDT,"{'t': 1714310423000, 'T': 1714310423999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021716, 'L': 3577021716, 'o': '63759.99000000', 'c': '63759.99000000', 'h': '63759.99000000', 'l': '63759.99000000', 'v': '0.00134000', 'n': 1, 'x': True, 'q': '85.43838660', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310425005,BTCUSDT,"{'t': 1714310424000, 'T': 1714310424999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021717, 'L': 3577021720, 'o': '63759.99000000', 'c': '63759.99000000', 'h': '63759.99000000', 'l': '63759.99000000', 'v': '0.06471000', 'n': 4, 'x': True, 'q': '4125.90895290', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310426005,BTCUSDT,"{'t': 1714310425000, 'T': 1714310425999, 's': 'BTCUSDT', 'i': '1s', 'f': -1, 'L': -1, 'o': '63759.99000000', 'c': '63759.99000000', 'h': '63759.99000000', 'l': '63759.99000000', 'v': '0.00000000', 'n': 0, 'x': True, 'q': '0.00000000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310427005,BTCUSDT,"{'t': 1714310426000, 'T': 1714310426999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021721, 'L': 3577021721, 'o': '63759.99000000', 'c': '63759.99000000', 'h': '63759.99000000', 'l': '63759.99000000', 'v': '0.00015000', 'n': 1, 'x': True, 'q': '9.56399850', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310428005,BTCUSDT,"{'t': 1714310427000, 'T': 1714310427999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021722, 'L': 3577021726, 'o': '63760.00000000', 'c': '63759.99000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.06814000', 'n': 5, 'x': True, 'q': '4344.60636620', 'V': '0.06476000', 'Q': '4129.09760000', 'B': '0'}"
kline,1714310429004,BTCUSDT,"{'t': 1714310428000, 'T': 1714310428999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021727, 'L': 3577021728, 'o': '63760.00000000', 'c': '63759.99000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.01043000', 'n': 2, 'x': True, 'q': '665.01679400', 'V': '0.00983000', 'Q': '626.76080000', 'B': '0'}"
kline,1714310430005,BTCUSDT,"{'t': 1714310429000, 'T': 1714310429999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021729, 'L': 3577021731, 'o': '63760.00000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.02698000', 'n': 3, 'x': True, 'q': '1720.24479050', 'V': '0.02603000', 'Q': '1659.67280000', 'B': '0'}"
kline,1714310431005,BTCUSDT,"{'t': 1714310430000, 'T': 1714310430999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021732, 'L': 3577021733, 'o': '63759.99000000', 'c': '63759.99000000', 'h': '63759.99000000', 'l': '63759.99000000', 'v': '0.01356000', 'n': 2, 'x': True, 'q': '864.58546440', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310434005,BTCUSDT,"{'t': 1714310433000, 'T': 1714310433999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021759, 'L': 3577021759, 'o': '63759.99000000', 'c': '63759.99000000', 'h': '63759.99000000', 'l': '63759.99000000', 'v': '0.00013000', 'n': 1, 'x': True, 'q': '8.28879870', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310435005,BTCUSDT,"{'t': 1714310434000, 'T': 1714310434999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021760, 'L': 3577021761, 'o': '63759.99000000', 'c': '63759.99000000', 'h': '63759.99000000', 'l': '63759.99000000', 'v': '0.00387000', 'n': 2, 'x': True, 'q': '246.75116130', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310436005,BTCUSDT,"{'t': 1714310435000, 'T': 1714310435999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021762, 'L': 3577021764, 'o': '63760.00000000', 'c': '63759.99000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.01300000', 'n': 3, 'x': True, 'q': '828.87999770', 'V': '0.01277000', 'Q': '814.21520000', 'B': '0'}"
kline,1714310437005,BTCUSDT,"{'t': 1714310436000, 'T': 1714310436999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021765, 'L': 3577021770, 'o': '63759.99000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.01774000', 'n': 6, 'x': True, 'q': '1131.10226100', 'V': '0.00384000', 'Q': '244.83840000', 'B': '0'}"
kline,1714310438005,BTCUSDT,"{'t': 1714310437000, 'T': 1714310437999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021771, 'L': 3577021776, 'o': '63760.00000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63760.00000000', 'v': '0.00403000', 'n': 6, 'x': True, 'q': '256.95280000', 'V': '0.00403000', 'Q': '256.95280000', 'B': '0'}"
kline,1714310439006,BTCUSDT,"{'t': 1714310438000, 'T': 1714310438999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021777, 'L': 3577021778, 'o': '63759.99000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.00376000', 'n': 2, 'x': True, 'q': '239.73756400', 'V': '0.00016000', 'Q': '10.20160000', 'B': '0'}"
kline,1714310440006,BTCUSDT,"{'t': 1714310439000, 'T': 1714310439999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021779, 'L': 3577021780, 'o': '63760.00000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63760.00000000', 'v': '0.00174000', 'n': 2, 'x': True, 'q': '110.94240000', 'V': '0.00174000', 'Q': '110.94240000', 'B': '0'}"
kline,1714310441005,BTCUSDT,"{'t': 1714310440000, 'T': 1714310440999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021781, 'L': 3577021788, 'o': '63760.00000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.01979000', 'n': 8, 'x': True, 'q': '1261.81039640', 'V': '0.01943000', 'Q': '1238.85680000', 'B': '0'}"
kline,1714310442005,BTCUSDT,"{'t': 1714310441000, 'T': 1714310441999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021789, 'L': 3577021792, 'o': '63760.00000000', 'c': '63759.99000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.01561000', 'n': 4, 'x': True, 'q': '995.29355000', 'V': '0.01061000', 'Q': '676.49360000', 'B': '0'}"
kline,1714310443005,BTCUSDT,"{'t': 1714310442000, 'T': 1714310442999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021793, 'L': 3577021797, 'o': '63759.99000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.00211000', 'n': 5, 'x': True, 'q': '134.53359620', 'V': '0.00173000', 'Q': '110.30480000', 'B': '0'}"
kline,1714310444005,BTCUSDT,"{'t': 1714310443000, 'T': 1714310443999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021798, 'L': 3577021805, 'o': '63760.00000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.02412000', 'n': 8, 'x': True, 'q': '1537.89101440', 'V': '0.00556000', 'Q': '354.50560000', 'B': '0'}"
kline,1714310445005,BTCUSDT,"{'t': 1714310444000, 'T': 1714310444999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021806, 'L': 3577021850, 'o': '63759.99000000', 'c': '63754.37000000', 'h': '63759.99000000', 'l': '63754.36000000', 'v': '1.27095000', 'n': 45, 'x': True, 'q': '81034.21863320', 'V': '0.00074000', 'Q': '47.17861030', 'B': '0'}"
kline,1714310446005,BTCUSDT,"{'t': 1714310445000, 'T': 1714310445999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021851, 'L': 3577021856, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.06714000', 'n': 6, 'x': True, 'q': '4280.46839870', 'V': '0.06683000', 'Q': '4260.70454710', 'B': '0'}"
kline,1714310447005,BTCUSDT,"{'t': 1714310446000, 'T': 1714310446999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021857, 'L': 3577021859, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00124000', 'n': 3, 'x': True, 'q': '79.05540980', 'V': '0.00034000', 'Q': '21.67648580', 'B': '0'}"
kline,1714310448005,BTCUSDT,"{'t': 1714310447000, 'T': 1714310447999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021860, 'L': 3577021865, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00692000', 'n': 6, 'x': True, 'q': '441.18019130', 'V': '0.00201000', 'Q': '128.14628370', 'B': '0'}"
kline,1714310449004,BTCUSDT,"{'t': 1714310448000, 'T': 1714310448999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021866, 'L': 3577021867, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00167000', 'n': 2, 'x': True, 'q': '106.46979790', 'V': '0.00167000', 'Q': '106.46979790', 'B': '0'}"
kline,1714310450005,BTCUSDT,"{'t': 1714310449000, 'T': 1714310449999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021868, 'L': 3577021870, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00088000', 'n': 3, 'x': True, 'q': '56.10384410', 'V': '0.00073000', 'Q': '46.54069010', 'B': '0'}"
kline,1714310451005,BTCUSDT,"{'t': 1714310450000, 'T': 1714310450999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021871, 'L': 3577021871, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.09999000', 'n': 1, 'x': True, 'q': '6374.79945630', 'V': '0.09999000', 'Q': '6374.79945630', 'B': '0'}"
kline,1714310452004,BTCUSDT,"{'t': 1714310451000, 'T': 1714310451999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021872, 'L': 3577021873, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.00746000', 'n': 2, 'x': True, 'q': '475.60752560', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
